"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"ZRAP",0,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,0,-1
"CHPB",-1,-1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
"RSEA",0,0,0,1,0,1,1,0,0,0,1,-1,-1,-1,0,1,0,1,0,1,0
"RSTB",0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"SIXA",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,-1
"YBII",0,1,0,1,1,0,0,0,-1,0,-1,-1,0,1,1,1,1,-1,0,0,-1
"YEHU",0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"RCSC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RTN",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"CREB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"PHOB",0,1,0,1,1,1,1,0,0,0,1,0,1,1,-1,1,1,0,1,1,0
"YDAM",1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"YDEH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"YEAJ",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"YFEA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RBN",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"YACG",1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YAEQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAII",0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1
"YAIL",1,1,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0
"YBDD",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YBGA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"YBHK",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1
"YBJQ",0,-1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"YCAP",0,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
"YCHJ",0,-1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0
"YCIS",-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YCJF",0,0,1,1,1,1,0,1,1,1,1,-1,1,0,1,0,1,1,1,1,0
"YDBL",0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0
"YEAC",1,1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,0
"YECE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"YEDK",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"YEJL",1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0
"YFIH",0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,0,0,0,-1,-1
"YGGU",0,0,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,1,0,1,0,0,0,1
"YHEU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIGA",0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0
"ECNB",-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1
"HICB",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"LPTC",0,0,1,1,0,0,0,0,1,1,1,1,0,0,-1,0,0,1,1,1,1
