,pyr_1,pyr_2,pyr_3
P07023,0.052109672673600844,0.05206933405530212,0.06009017146004241
P07024,0.0,0.0,0.0
P07102,0.0,0.0,0.0
P07109,0.0,0.0,0.0
P07623,148.86799188004665,148.75275168003697,107.14276908557146
P07639,0.5414440817362203,0.5410249444624157,0.38968630858510733
P07650,0.0,0.0,0.0
P07654,0.0,0.0,0.0
P07762,0.0,0.0,0.0
P07821,0.0,0.0,0.0
P07822,0.0,0.0,0.0
P07862,63.26500145750432,0.0,0.0
P07913,0.0,0.0,0.0
P08142,936.7925331387843,555.5015504084374,270.368344296179
P08178,3974.8137895452323,3971.7368464739293,2860.739576271884
P08179,299.363635082335,202.505608463447,215.4569858918249
P08192,2.2501127836487296,2.2483709488592747,1.6194435845496216
P08200,7376.845712706551,7381.347831955739,3721.1257349001503
P08201,0.0,0.0,0.0
P08202,0.0,0.0,0.0
P08203,0.0,0.0,0.0
P08204,0.0,0.0,0.0
P08244,279.7369642006433,279.52041702151206,201.33134451224873
P08331,0.0,0.0,0.0
P08337,0.0,0.0,0.0
P08373,49.18795238558294,49.149875500153136,35.40138721349256
P08506,0.0,0.0,0.0
P08660,0.0,0.0,0.0
P08722,0.0,0.0,0.0
P08839,0.0,0.0,0.0
P08997,2185.828010235246,1978.7723431194615,1573.1767642175041
P09029,2695.6398766297366,2693.5531548660815,1940.0968414506883
P09053,1087.6615999556627,1086.8196302431754,782.8081387783699
P09099,0.0,0.0,0.0
P09126,0.03168149675179013,0.031656971788591684,0.022801700002089583
P09147,0.0,0.0,0.0
P09148,0.0,0.0,0.0
P09151,1230.9160011887554,1229.96313681287,885.9107133343335
P09152,0.0,0.0,0.0
P09158,0.0,0.0,0.0
P09323,0.0,0.0,0.0
P09373,0.0,0.0,140.47997813442907
P09394,0.0,0.0,0.0
P09424,0.0,0.0,0.0
P09546,0.0,0.0,0.0
P09551,0.0,0.0,0.0
P09831,0.0,0.0,0.0
P09832,0.0,0.0,0.0
P09833,0.000872350563939114,0.0008716752686510048,0.0006278452060340056
P0A6A3,0.0,0.0,142.26687221973668
P0A6A6,0.4017989099724622,0.4014878734214605,0.28918135649134097
P0A6A8,7756.579623886353,7750.575178095429,5582.539329243781
